Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b),Barradeel,62,10156,6,12,0.5
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b),Barsingerhorn,369,10973,1,8,0.125
(?:[^a-zA-Z]|\b)barwoutswaarder(?:[^a-zA-Z]|\b),Barwoutswaarder,1017,10447,7,23,0.30434782608695654
(?:[^a-zA-Z]|\b)batenburg(?:[^a-zA-Z]|\b),Batenburg,204,10921,1,17,0.058823529411764705
(?:[^a-zA-Z]|\b)bath(?:[^a-zA-Z]|\b),Bath,1018,10623,1,12,0.08333333333333333
(?:[^a-zA-Z]|\b)bathmen(?:[^a-zA-Z]|\b),Bathmen,144,11030,2,2,1.0
(?:[^a-zA-Z]|\b)bedum(?:[^a-zA-Z]|\b),Bedum,5,10425,3,16,0.1875
(?:[^a-zA-Z]|\b)beegden(?:[^a-zA-Z]|\b),Beegden,887,11089,0,0,0.0
(?:[^a-zA-Z]|\b)beek(?:[^a-zA-Z]|\b),Beek (L.),888,11374,21,143,0.14685314685314685
(?:[^a-zA-Z]|\b)beek.?en.?donk(?:[^a-zA-Z]|\b),Beek en Donk,746,10173,7,24,0.2916666666666667
(?:[^a-zA-Z]|\b)beemster(?:[^a-zA-Z]|\b),Beemster,370,10816,3,25,0.12
(?:[^a-zA-Z]|\b)beers(?:[^a-zA-Z]|\b),Beers,747,11410,2,11,0.18181818181818182
(?:[^a-zA-Z]|\b)beerta(?:[^a-zA-Z]|\b),Beerta,6,11043,1,22,0.045454545454545456
(?:[^a-zA-Z]|\b)beesd(?:[^a-zA-Z]|\b),Beesd,205,10259,3,7,0.42857142857142855
(?:[^a-zA-Z]|\b)beesel(?:[^a-zA-Z]|\b),Beesel,889,10195,0,1,0.0
(?:[^a-zA-Z]|\b)beets(?:[^a-zA-Z]|\b),Beets,371,10536,3,48,0.0625
(?:[^a-zA-Z]|\b)beilen(?:[^a-zA-Z]|\b),Beilen,107,10520,6,28,0.21428571428571427
(?:[^a-zA-Z]|\b)belfeld(?:[^a-zA-Z]|\b),Belfeld,890,10292,0,0,0.0
(?:[^a-zA-Z]|\b)bellingewolde(?:[^a-zA-Z]|\b),Bellingwolde,1019,10340,0,3,0.0
(?:[^a-zA-Z]|\b)bemelen(?:[^a-zA-Z]|\b),Bemelen,891,10878,0,0,0.0
(?:[^a-zA-Z]|\b)bemmel(?:[^a-zA-Z]|\b),Bemmel,206,10744,0,23,0.0
(?:[^a-zA-Z]|\b)bennebroek(?:[^a-zA-Z]|\b),Bennebroek,372,10734,0,3,0.0
(?:[^a-zA-Z]|\b)benschop(?:[^a-zA-Z]|\b),Benschop,309,11330,11,47,0.23404255319148937
(?:[^a-zA-Z]|\b)benthuizen(?:[^a-zA-Z]|\b),Benthuizen,490,10398,2,9,0.2222222222222222
(?:[^a-zA-Z]|\b)berg.?en.?terbl(ij|y)t(?:[^a-zA-Z]|\b),Berg en Terblijt,892,10796,0,0,0.0
(?:[^a-zA-Z]|\b)bergambacht(?:[^a-zA-Z]|\b),Bergambacht,491,10962,9,24,0.375
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (L.),893,11281,29,270,0.10740740740740741
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (NH.),373,11424,29,270,0.10740740740740741
(?:[^a-zA-Z]|\b)berg(.?)en.?op.?zoom(?:[^a-zA-Z]|\b),Bergen op Zoom,748,11037,18,127,0.14173228346456693
(?:[^a-zA-Z]|\b)berge(ij|y)k(?:[^a-zA-Z]|\b),Bergeyk,749,11160,0,5,0.0
(?:[^a-zA-Z]|\b)bergh(?:[^a-zA-Z]|\b),Bergh,207,10350,4,57,0.07017543859649122
(?:[^a-zA-Z]|\b)bergharen(?:[^a-zA-Z]|\b),Bergharen,208,10883,0,0,0.0
(?:[^a-zA-Z]|\b)ber(g|c)h?em(?:[^a-zA-Z]|\b),Berghem,750,10733,0,3,0.0
(?:[^a-zA-Z]|\b)bergschenhoek(?:[^a-zA-Z]|\b),Bergschenhoek,492,10445,1,12,0.08333333333333333
