Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (NH.),373,11424,49,320,0.153125
(?:[^a-zA-Z]|\b)berg(.?)en.?op.?zoom(?:[^a-zA-Z]|\b),Bergen op Zoom,748,11037,18,118,0.15254237288135594
(?:[^a-zA-Z]|\b)berge(ij|y)k(?:[^a-zA-Z]|\b),Bergeyk,749,11160,1,4,0.25
(?:[^a-zA-Z]|\b)bergh(?:[^a-zA-Z]|\b),Bergh,207,10350,6,45,0.13333333333333333
(?:[^a-zA-Z]|\b)bergharen(?:[^a-zA-Z]|\b),Bergharen,208,10883,1,1,1.0
(?:[^a-zA-Z]|\b)ber(g|c)h?em(?:[^a-zA-Z]|\b),Berghem,750,10733,1,1,1.0
(?:[^a-zA-Z]|\b)bergschenhoek(?:[^a-zA-Z]|\b),Bergschenhoek,492,10445,6,21,0.2857142857142857
(?:[^a-zA-Z]|\b)berkel.?en.?rodenr(ij|y)s(?:[^a-zA-Z]|\b),Berkel en Rodenrijs,493,10139,7,14,0.5
(?:[^a-zA-Z]|\b)berkel.?enschot(?:[^a-zA-Z]|\b),Berkel-Enschot,751,11132,0,0,0.0
(?:[^a-zA-Z]|\b)berkenwoude(?:[^a-zA-Z]|\b),Berkenwoude,494,10797,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)berkhout(?:[^a-zA-Z]|\b),Berkhout,374,10354,4,37,0.10810810810810811
(?:[^a-zA-Z]|\b)berlicum(?:[^a-zA-Z]|\b),Berlicum,752,10362,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)beso(ij|y)en(?:[^a-zA-Z]|\b),Besoijen,1020,10056,2,10,0.2
(?:[^a-zA-Z]|\b)best(?:[^a-zA-Z]|\b),Best,753,10442,40,315,0.12698412698412698
(?:[^a-zA-Z]|\b)beugen.?en.?rijkevoort(?:[^a-zA-Z]|\b),Beugen en Rijkevoort,1021,10252,0,0,0.0
(?:[^a-zA-Z]|\b)beuningen(?:[^a-zA-Z]|\b),Beuningen,209,10417,1,2,0.5
(?:[^a-zA-Z]|\b)beusichem(?:[^a-zA-Z]|\b),Beusichem,210,11182,2,5,0.4
(?:[^a-zA-Z]|\b)beverw(ij|y)k(?:[^a-zA-Z]|\b),Beverwijk,375,10272,11,45,0.24444444444444444
(?:[^a-zA-Z]|\b)bierum(?:[^a-zA-Z]|\b),Bierum,8,11294,0,0,0.0
(?:[^a-zA-Z]|\b)biervliet(?:[^a-zA-Z]|\b),Biervliet,652,10257,0,1,0.0
(?:[^a-zA-Z]|\b)biggekerke(?:[^a-zA-Z]|\b),Biggekerke,1022,11364,0,1,0.0
(?:[^a-zA-Z]|\b)bingelrade(?:[^a-zA-Z]|\b),Bingelrade,894,10967,2,2,1.0
(?:[^a-zA-Z]|\b)bladel.?en.?netersel(?:[^a-zA-Z]|\b),Bladel en Netersel,754,11006,0,0,0.0
(?:[^a-zA-Z]|\b)blankenham(?:[^a-zA-Z]|\b),Blankenham,145,10320,1,5,0.2
(?:[^a-zA-Z]|\b)blaricum(?:[^a-zA-Z]|\b),Blaricum,376,10493,0,1,0.0
(?:[^a-zA-Z]|\b)bleisw(ij|y)k(?:[^a-zA-Z]|\b),Bleiswijk,495,10994,7,19,0.3684210526315789
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b),Bleskensgraaf en Hofwege,496,10451,2,4,0.5
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b),Bloemendaal,377,10850,2,46,0.043478260869565216
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b),Blokker,378,10804,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)blokz(ij|y)l(?:[^a-zA-Z]|\b),Blokzijl,146,10689,11,40,0.275
(?:[^a-zA-Z]|\b)bocholtz(?:[^a-zA-Z]|\b),Bocholtz,895,10986,1,1,1.0
(?:[^a-zA-Z]|\b)bodegraven(?:[^a-zA-Z]|\b),Bodegraven,497,11091,15,41,0.36585365853658536
(?:[^a-zA-Z]|\b)boekel(?:[^a-zA-Z]|\b),Boekel,755,10432,0,0,0.0
(?:[^a-zA-Z]|\b)bokhoven(?:[^a-zA-Z]|\b),Bokhoven,1023,11083,6,8,0.75
(?:[^a-zA-Z]|\b)bolsward(?:[^a-zA-Z]|\b),Bolsward,64,10865,10,85,0.11764705882352941
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b),Borculo,211,11307,2,10,0.2
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b),Borger,108,10448,7,27,0.25925925925925924
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b),Borgharen,896,11334,2,5,0.4
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b),Borkel en Schaft,1026,11013,0,0,0.0
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b),Born,897,10927,1,5,0.2
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b),Borne,147,10326,4,19,0.21052631578947367
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b),Borssele,1254,10043,0,1,0.0
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b),Boschkapelle,1027,10605,0,0,0.0
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b),Boskoop,499,10419,6,23,0.2608695652173913
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b),Bovenkarspel,379,10945,0,0,0.0
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b),Boxmeer,756,11227,2,22,0.09090909090909091
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b),Boxtel,757,10083,22,72,0.3055555555555556
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b),Brakel,212,11125,10,22,0.45454545454545453
