Regex;name;cbscode;amsterdamcode
(?:[^a-zA-Z]|\b)bergschenhoek(?:[^a-zA-Z]|\b);Bergschenhoek;492;10445
(?:[^a-zA-Z]|\b)berkel.?en.?rodenr(ij|y)s(?:[^a-zA-Z]|\b);Berkel en Rodenrijs;493;10139
(?:[^a-zA-Z]|\b)berkel.?enschot(?:[^a-zA-Z]|\b);Berkel-Enschot;751;11132
(?:[^a-zA-Z]|\b)berkenwoude(?:[^a-zA-Z]|\b);Berkenwoude;494;10797
(?:[^a-zA-Z]|\b)berkhout(?:[^a-zA-Z]|\b);Berkhout;374;10354
(?:[^a-zA-Z]|\b)berlicum(?:[^a-zA-Z]|\b);Berlicum;752;10362
(?:[^a-zA-Z]|\b)beso(ij|y)en(?:[^a-zA-Z]|\b);Besoijen;1020;10056
(?:[^a-zA-Z]|\b)best(?:[^a-zA-Z]|\b);Best;753;10442
(?:[^a-zA-Z]|\b)beugen.?en.?rijkevoort(?:[^a-zA-Z]|\b);Beugen en Rijkevoort;1021;10252
(?:[^a-zA-Z]|\b)beuningen(?:[^a-zA-Z]|\b);Beuningen;209;10417
(?:[^a-zA-Z]|\b)beusichem(?:[^a-zA-Z]|\b);Beusichem;210;11182
(?:[^a-zA-Z]|\b)beverw(ij|y)k(?:[^a-zA-Z]|\b);Beverwijk;375;10272
(?:[^a-zA-Z]|\b)bierum(?:[^a-zA-Z]|\b);Bierum;8;11294
(?:[^a-zA-Z]|\b)biervliet(?:[^a-zA-Z]|\b);Biervliet;652;10257
(?:[^a-zA-Z]|\b)biggekerke(?:[^a-zA-Z]|\b);Biggekerke;1022;11364
(?:[^a-zA-Z]|\b)bingelrade(?:[^a-zA-Z]|\b);Bingelrade;894;10967
(?:[^a-zA-Z]|\b)bladel.?en.?netersel(?:[^a-zA-Z]|\b);Bladel en Netersel;754;11006
(?:[^a-zA-Z]|\b)blankenham(?:[^a-zA-Z]|\b);Blankenham;145;10320
(?:[^a-zA-Z]|\b)blaricum(?:[^a-zA-Z]|\b);Blaricum;376;10493
(?:[^a-zA-Z]|\b)bleisw(ij|y)k(?:[^a-zA-Z]|\b);Bleiswijk;495;10994
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b);Bleskensgraaf en Hofwege;496;10451
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b);Bloemendaal;377;10850
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b);Blokker;378;10804
(?:[^a-zA-Z]|\b)blokz(ij|y)l(?:[^a-zA-Z]|\b);Blokzijl;146;10689
(?:[^a-zA-Z]|\b)bocholtz(?:[^a-zA-Z]|\b);Bocholtz;895;10986
(?:[^a-zA-Z]|\b)bodegraven(?:[^a-zA-Z]|\b);Bodegraven;497;11091
(?:[^a-zA-Z]|\b)boekel(?:[^a-zA-Z]|\b);Boekel;755;10432
(?:[^a-zA-Z]|\b)bokhoven(?:[^a-zA-Z]|\b);Bokhoven;1023;11083
(?:[^a-zA-Z]|\b)bolsward(?:[^a-zA-Z]|\b);Bolsward;64;10865
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b);Borculo;211;11307
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b);Borger;108;10448
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b);Borgharen;896;11334
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b);Borkel en Schaft;1026;11013
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b);Born;897;10927
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b);Borne;147;10326
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b);Borssele;1254;10043
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b);Boschkapelle;1027;10605
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b);Boskoop;499;10419
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b);Bovenkarspel;379;10945
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b);Boxmeer;756;11227
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b);Boxtel;757;10083
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b);Brakel;212;11125
(?:[^a-zA-Z]|\b)brandw(ij|y)k(?:[^a-zA-Z]|\b);Brandwijk;500;10169
(?:[^a-zA-Z]|\b)breda(?:[^a-zA-Z]|\b);Breda;758;10154
(?:[^a-zA-Z]|\b)breskens(?:[^a-zA-Z]|\b);Breskens;655;10233
(?:[^a-zA-Z]|\b)breukelen.?n(ij|y)enrode(?:[^a-zA-Z]|\b);Breukelen-Nijenrode;1028;10807
(?:[^a-zA-Z]|\b)breukelen.?(st.?|sint).?pieters(?:[^a-zA-Z]|\b);Breukelen-Sint Pieters;1029;11149
(?:[^a-zA-Z]|\b)brielle(?:[^a-zA-Z]|\b);Brielle;501;10232
(?:[^a-zA-Z]|\b)broek(?:[^a-zA-Z]|\b);Broek;1030;11214
(?:[^a-zA-Z]|\b)broek.?in.?waterland(?:[^a-zA-Z]|\b);Broek in Waterland;380;10289
(?:[^a-zA-Z]|\b)broek.?op.?langend(ij|y)k(?:[^a-zA-Z]|\b);Broek op Langedijk;1031;10955
(?:[^a-zA-Z]|\b)broekhu(ij|y|i)(s|z)en(?:[^a-zA-Z]|\b);Broekhuizen;898;10856
(?:[^a-zA-Z]|\b)broeksittard(?:[^a-zA-Z]|\b);Broeksittard;1032;10655
(?:[^a-zA-Z]|\b)brouwershaven(?:[^a-zA-Z]|\b);Brouwershaven;656;10030
(?:[^a-zA-Z]|\b)bruinisse(?:[^a-zA-Z]|\b);Bruinisse;657;11291
(?:[^a-zA-Z]|\b)brummen(?:[^a-zA-Z]|\b);Brummen;213;10798
(?:[^a-zA-Z]|\b)brunssum(?:[^a-zA-Z]|\b);Brunssum;899;10533
(?:[^a-zA-Z]|\b)budel(?:[^a-zA-Z]|\b);Budel;759;10219
(?:[^a-zA-Z]|\b)buggenum(?:[^a-zA-Z]|\b);Buggenum;1033;10857
(?:[^a-zA-Z]|\b)buiksloot(?:[^a-zA-Z]|\b);Buiksloot;1034;10961
(?:[^a-zA-Z]|\b)bunde(?:[^a-zA-Z]|\b);Bunde;900;10831
(?:[^a-zA-Z]|\b)bunnik(?:[^a-zA-Z]|\b);Bunnik;312;10820
(?:[^a-zA-Z]|\b)bunschoten(?:[^a-zA-Z]|\b);Bunschoten;313;11343
(?:[^a-zA-Z]|\b)buren(?:[^a-zA-Z]|\b);Buren;214;11286
(?:[^a-zA-Z]|\b)burgh(?:[^a-zA-Z]|\b);Burgh;1035;11000
(?:[^a-zA-Z]|\b)bussum(?:[^a-zA-Z]|\b);Bussum;381;10281
(?:[^a-zA-Z]|\b)buurmalsen(?:[^a-zA-Z]|\b);Buurmalsen;215;10460
(?:[^a-zA-Z]|\b)cadier.?en.?keer(?:[^a-zA-Z]|\b);Cadier en Keer;901;11447
(?:[^a-zA-Z]|\b)cadzand(?:[^a-zA-Z]|\b);Cadzand;658;11002
(?:[^a-zA-Z]|\b)callantsoog(?:[^a-zA-Z]|\b);Callantsoog;382;10559
(?:[^a-zA-Z]|\b)capelle.?(a.?d.?|aan.?den?).?(ij|y)ssel(?:[^a-zA-Z]|\b);Capelle;1036;11233
(?:[^a-zA-Z]|\b)cappelle(?:[^a-zA-Z]|\b);Capelle aan den IJssel;502;11248
(?:[^a-zA-Z]|\b)castricum(?:[^a-zA-Z]|\b);Castricum;383;11287
(?:[^a-zA-Z]|\b)chaam(?:[^a-zA-Z]|\b);Chaam;760;11433
(?:[^a-zA-Z]|\b)charlois(?:[^a-zA-Z]|\b);Charlois;1037;10430
(?:[^a-zA-Z]|\b)clinge(?:[^a-zA-Z]|\b);Clinge;659;10965
(?:[^a-zA-Z]|\b)coevorden(?:[^a-zA-Z]|\b);Coevorden;109;10383
(?:[^a-zA-Z]|\b)col(ij|y)nsplaat(?:[^a-zA-Z]|\b);Colijnsplaat;1038;10121
(?:[^a-zA-Z]|\b)cothen(?:[^a-zA-Z]|\b);Cothen;314;11316
