Location_Regex,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)bemelen(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)bemmel(?:[^a-zA-Z]|\b),1,12,0.08333333333333333
(?:[^a-zA-Z]|\b)bennebroek(?:[^a-zA-Z]|\b),0,3,0.0
(?:[^a-zA-Z]|\b)benschop(?:[^a-zA-Z]|\b),3,14,0.21428571428571427
(?:[^a-zA-Z]|\b)benthuizen(?:[^a-zA-Z]|\b),6,24,0.25
(?:[^a-zA-Z]|\b)berchem(?:[^a-zA-Z]|\b),0,6,0.0
(?:[^a-zA-Z]|\b)berg.?en.?terbl(ij|y)t(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)bergambacht(?:[^a-zA-Z]|\b),1,14,0.07142857142857142
(?:[^a-zA-Z]|\b)berge(ij|y)k(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),45,350,0.12857142857142856
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),45,350,0.12857142857142856
(?:[^a-zA-Z]|\b)berg(.?)en.?op.?zoom(?:[^a-zA-Z]|\b),34,163,0.2085889570552147
(?:[^a-zA-Z]|\b)bergh(?:[^a-zA-Z]|\b),2,60,0.03333333333333333
(?:[^a-zA-Z]|\b)bergharen(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)bergschenhoek(?:[^a-zA-Z]|\b),5,15,0.3333333333333333
(?:[^a-zA-Z]|\b)berkel(?:[^a-zA-Z]|\b),8,51,0.1568627450980392
(?:[^a-zA-Z]|\b)berkel.?en.?rodenr(ij|y)s(?:[^a-zA-Z]|\b),1,8,0.125
(?:[^a-zA-Z]|\b)berkenwoude(?:[^a-zA-Z]|\b),1,10,0.1
(?:[^a-zA-Z]|\b)berkhout(?:[^a-zA-Z]|\b),6,49,0.12244897959183673
(?:[^a-zA-Z]|\b)berlicum(?:[^a-zA-Z]|\b),1,7,0.14285714285714285
(?:[^a-zA-Z]|\b)beso(ij|y)en(?:[^a-zA-Z]|\b),1,17,0.058823529411764705
(?:[^a-zA-Z]|\b)best(?:[^a-zA-Z]|\b),36,251,0.14342629482071714
(?:[^a-zA-Z]|\b)beugen(?:[^a-zA-Z]|\b),2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)beuningen(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)beusichem(?:[^a-zA-Z]|\b),5,10,0.5
(?:[^a-zA-Z]|\b)beverw(ij|y)k(?:[^a-zA-Z]|\b),2,31,0.06451612903225806
(?:[^a-zA-Z]|\b)bierum(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)biervliet(?:[^a-zA-Z]|\b),1,5,0.2
(?:[^a-zA-Z]|\b)biggekerke(?:[^a-zA-Z]|\b),0,2,0.0
(?:[^a-zA-Z]|\b)de.?bilt(?:[^a-zA-Z]|\b),3,10,0.3
(?:[^a-zA-Z]|\b)bingelrade(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)bladel(?:[^a-zA-Z]|\b),0,6,0.0
(?:[^a-zA-Z]|\b)blankenham(?:[^a-zA-Z]|\b),1,1,1.0
(?:[^a-zA-Z]|\b)blaricum(?:[^a-zA-Z]|\b),2,3,0.6666666666666666
(?:[^a-zA-Z]|\b)bleisw(ij|y)k(?:[^a-zA-Z]|\b),3,24,0.125
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b),0,1,0.0
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b),2,30,0.06666666666666667
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b),1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)blokz(ij|y)l(?:[^a-zA-Z]|\b),13,29,0.4482758620689655
(?:[^a-zA-Z]|\b)bocholtz(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)bodegraven(?:[^a-zA-Z]|\b),13,48,0.2708333333333333
(?:[^a-zA-Z]|\b)boekel(?:[^a-zA-Z]|\b),0,0,0.0
(?:[^a-zA-Z]|\b)bokhoven(?:[^a-zA-Z]|\b),1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)bolsward(?:[^a-zA-Z]|\b),1,81,0.012345679012345678
(?:[^a-zA-Z]|\b)den.?bommel(?:[^a-zA-Z]|\b),2,22,0.09090909090909091
