Regex,name,cbscode,amsterdamcode
\bcu(ij|y)k[\s\w]?en[\s\w]?(st[\s\w]?|sint)[\s\w]?agatha\b,Cuijk en Sint Agatha,761,10023
\bcule(n|m)b(o|u)rg|kuilenb(u|o)rg\b,Culemborg,216,10342
\bdalen\b,Dalen,110,11004
\bdalfsen\b,Dalfsen,148,11007
\bdantumadeel\b,Dantumadeel,65,10650
\bde[\s\w]?bilt\b,De Bilt,310,10168
\bde[\s\w]?lier\b,De Lier,552,10241
\bde[\s\w]r(ij|y)p\b,De Rijp,440,11417
\bde[\s\w]?werke(n|n[\s\w]?e?n?[\s\w]? sleeuwijk)\b,de Werken en Sleeuwijk,1222,10116
\bde[\s\w]w(ij|y)k\b,De Wijk,135,10753
\bdeil\b,Deil,217,10057
\bdelf(t?)shaven\b,Delfshaven,1040,10908
\bdelft\b,Delft,503,10928
\bdelfz(ij|y)l\b,Delfzijl,10,10976
\bden[\s\w]?bommel\b,Den Bommel,1024,10293
\bden[\s\w]?dungen\b,Den Dungen,768,10491
\bden[\s\w]?ham\b,Den Ham,159,10395
\bden[\s\w]?helder\b,Den Helder,400,10285
\bdenekamp\b,Denekamp,149,10245
\bdeurne[\s\w]?en[\s\w]?liessel\b,Deurne en Liessel,1041,10379
\bdeursen|dennenburg\b,Deursen en Dennenburg,1042,10209
\bdevent(er|\.)\b,Deventer,150,10899
\bdidam\b,Didam,218,10153
\bdiede(n|n[\s\w]?[\s\w]?demen[\s\w]?e?n?[\s\w]?langel)\b,"Dieden, Demen en Langel",1043,11138
\bdiemen\b,Diemen,384,11039
\bdiepenheim\b,Diepenheim,151,10311
\bdiepenveen\b,Diepenveen,152,10933
\bdiessen\b,Diessen,763,11185
\bdiever\b,Diever,111,10418
\bdinteloord|prinsenland\b,Dinteloord en Prinsenland,764,11193
\bdinther\b,Dinther,1044,10690
\bdinxperlo\b,Dinxperlo,219,11154
\bdirksland\b,Dirksland,504,11344
\bdodewaard\b,Dodewaard,220,10647
\bdoesburg\b,Doesburg,221,10327
\bdokkum\b,Dokkum,66,10198
\bdomburg\b,Domburg,660,10236
\bdommelen\b,Dommelen,1045,10424
\bdongen\b,Dongen,766,11412
\bdoniawerstal\b,Doniawerstal,67,10086
\bdoorn\b,Doorn,315,10213
\bdoornsp(ij|y)k\b,Doornspijk,223,10069
\bdoorwerth\b,Doorwerth,1046,11304
