Regex,name,cbscode,amsterdamcode
\bzal(k|k[\s\w]?e?n?[\s\w]?veecaten)\b,Zalk en Veecaten,1232,10633
\bzandvoort\b,Zaltbommel,297,10557
\bzeeland\b,Zandvoort,473,10910
\bzeelst\b,Zeeland,877,10759
\bzegveld\b,Zeelst,1233,10096
\bzegveld\b,Zegveld,354,10949
\bzegwaart\b,Zegwaart,1234,10185
\bzeist\b,Zeist,355,10324
\bzelhem\b,Zelhem,298,11159
\bzesgehuchten\b,Zesgehuchten,1235,10329
\bzevenaar\b,Zevenaar,299,10938
\bzevenbergen\b,Zevenbergen,878,10046
\bzevenhoven\b,Zevenhoven,635,11317
\bzevenhui(z|s)en\b,Zevenhuizen,636,11377
\bzierikzee\b,Zierikzee,732,10843
\bZ(ij|y)pe\b,Zijpe,476,10004
\bzoelen\b,Zoelen,300,10897
\bzoetermeer\b,Zoetermeer,637,10766
\bzoeterwoude\b,Zoeterwoude,638,11074
\bzonnemaire\b,Zonnemaire,1236,10040
\bzoutelande\b,Zoutelande,1237,10779
\bzuid[\s\w]?[\s\w]?en[\s\w]?noord[\s\w]?Schermer\b,Zuid- en Noord-Schermer,474,11311
\bzuid[\s\w]?be(ij|y)erland\b,Zuid-Beijerland,639,10917
\bzuidbroek\b,Zuidbroek (Gr.),1240,11282
\bzuidd?orpe?\b,Zuiddorpe,734,11087
\bzuidhorn\b,Zuidhorn,56,10021
\bzuidland\b,Zuidland,640,10316
\bzuid[\s\w]?laren\b,Zuidlaren,136,10002
\bzuid[\s\w]?scharwoude\b,Zuid-Scharwoude,1238,10159
\bzuid[\s\w]?waddin(x|ks)veen\b,Zuid-Waddinxveen,1239,10081
\bzuidwolde\b,Zuidwolde,137,10262
\bzuidzande\b,Zuidzande,735,10437
\bzuilen\b,Zuilen,1242,10059
\bzuilichem\b,Zuilichem,1243,11036
\bzundert\b,Zundert,879,11192
\bzutphen\b,Zutphen,301,10254
\bzwaag\b,Zwaag,475,10218
\bzwammerdam\b,Zwammerdam,1244,10675
\bzwartewaal\b,Zwartewaal,641,10703
\bzwartsluis\b,Zwartsluis,192,10303
\bzweeloo\b,Zweeloo,138,10872
\bzwijndrecht\b,Zwijndrecht,642,10468
\bzwolle\b,Zwolle,193,10093
\bzwollerkerspel\b,Zwollerkerspel,1245,10654
