Location_Regex,n_both,n_total,Normalized_Mentions
f(ij|y)naart|he(ij|y)ningen,9,22,0.4090909090909091
finsterwolde?,0,0,0.0
forth.?bath,0,0,0.0
franeker,7,73,0.0958904109589041
franekeradeel|frjentsjerteradiel,1,8,0.125
gaasterland,0,7,0.0
gameren,1,9,0.1111111111111111
gassel,2,17,0.11764705882352941
gasselte,2,15,0.13333333333333333
geertruidenberg,7,21,0.3333333333333333
geervliet,2,22,0.09090909090909091
geffen,0,8,0.0
geldermalsen,5,19,0.2631578947368421
gel(dorp|drop),0,5,0.0
geleen,0,11,0.0
gemert,8,28,0.2857142857142857
gendringen,4,6,0.6666666666666666
genemuiden,7,23,0.30434782608695654
gennep,9,56,0.16071428571428573
gend?t,79,1219,0.06480721903199343
gestel|blaarthem,387,2837,0.13641170250264364
geu(l|lle),2,28,0.07142857142857142
giessen,15,70,0.21428571428571427
giessen.?nieuwkerk,0,1,0.0
giessendam,4,25,0.16
gieten,13,84,0.15476190476190477
giethoorn,7,16,0.4375
gilze.?en.?r(ij|y)en,0,3,0.0
ginneken|bavel,10,39,0.2564102564102564
goedereede,0,21,0.0
g(h?)oes(ch?),0,7,0.0
goirle,0,5,0.0
goor,9,101,0.0891089108910891
gorinchem,69,196,0.3520408163265306
gorssel,0,2,0.0
gouda,257,487,0.5277207392197125
gouderak,3,17,0.17647058823529413
goudriaan,2,28,0.07142857142857142
goudswaard,1,32,0.03125
graauw|langendam,4,49,0.08163265306122448
grafhorst,3,6,0.5
graft,3,27,0.1111111111111111
gramsbergen,2,2,1.0
grathem,0,1,0.0
grave,349,1546,0.2257438551099612
grevenbicht,0,0,0.0
gr(ij|y)pskerk,3,15,0.2
gr(ij|y)pskerke,0,3,0.0
groede,0,1,0.0
groenlo,2,25,0.08
groesbeek,1,2,0.5
gr(ö|o)ning(s|en|\.),268,769,0.34850455136540964
grons(f|v)eld,0,1,0.0
groot.?ammers,0,7,0.0
grootebroek,4,15,0.26666666666666666
grootegast,1,5,0.2
grubbenvorst,0,1,0.0
gulpen,3,3,1.0
haaften,21,63,0.3333333333333333
haaksbergen,1,10,0.1
haamstede,0,0,0.0
haaren,0,12,0.0
ha.?rlem|haarl(am|\.),235,816,0.28799019607843135
haarlemmerliede.?en.?spaarnwoude,1,12,0.08333333333333333
haarlemmermeer,22,80,0.275
haarzuilens,1,19,0.05263157894736842
haastrecht,8,33,0.24242424242424243
haelen,0,1,0.0
hagestein,1,12,0.08333333333333333
halsteren,6,7,0.8571428571428571
den.?ham,10,54,0.18518518518518517
haps,15,82,0.18292682926829268
hardenberg,15,35,0.42857142857142855
hardenberg,15,35,0.42857142857142855
harderw(ij|y)k,19,74,0.25675675675675674
hardinxveld,5,32,0.15625
haren,71,670,0.10597014925373134
harenkarspel,0,1,0.0
harlingen,51,301,0.16943521594684385
harmelen,1,7,0.14285714285714285
haskerland,4,12,0.3333333333333333
hasselt,35,134,0.26119402985074625
hattem,3,27,0.1111111111111111
havelte,0,2,0.0
hazerswoude,8,39,0.20512820512820512
hedel,2,17,0.11764705882352941
hedikhuizen,0,1,0.0
heel.?en.?panheel,0,1,0.0
heemskerk,18,97,0.18556701030927836
heemstede,2,36,0.05555555555555555
heenvliet,0,13,0.0
heer,618,5027,0.12293614481798289
heerde,11,131,0.08396946564885496
heerewaarden,0,0,0.0
heerhugowaard,0,7,0.0
heerjansdam,3,16,0.1875
heerlen,0,1,0.0
heesbeen|eethen|genderen,0,14,0.0
heesch,2,28,0.07142857142857142
heesw(ij|y)k,0,5,0.0
heeze,0,1,0.0
hei.?.?en.?boeicop,0,0,0.0
he(ij|y)thu(ij|y)(s|z)en,0,0,0.0
heille,0,0,0.0
heiloo?,2,7,0.2857142857142857
heinenoord,1,20,0.05
heinkenszand,1,14,0.07142857142857142
heino,1,5,0.2
hekelingen,2,10,0.2
hekendorp,2,18,0.1111111111111111
helden,3,94,0.031914893617021274
helder,56,409,0.13691931540342298
hellendoorn,7,12,0.5833333333333334
hellevoetsluis,21,173,0.12138728323699421
helmond,18,68,0.2647058823529412
nieuw.?helvoet,0,14,0.0
helvoirt,0,8,0.0
hemelumer.?oldephaert.?en.?noordwolde,3,4,0.75
hemmen,4,5,0.8
hendrik.?ido.?ambacht,2,10,0.2
hengeloo?,18,70,0.2571428571428571
hengeloo?,18,70,0.2571428571428571
hengstd(ij|y)k,0,0,0.0
hennaarderadeel,0,2,0.0
hensbroek,0,7,0.0
herkenbosch.?en.?melick|melick.?en.?herkenbosch,0,0,0.0
herkingen,4,13,0.3076923076923077
herpen,3,36,0.08333333333333333
herpt,8,57,0.14035087719298245
herten,7,11,0.6363636363636364
herwen.?en.?aerdt,0,1,0.0
herw(ij|y)nen,3,17,0.17647058823529413
heteren,7,38,0.18421052631578946
heukelum,0,3,0.0
heumen,0,12,0.0
heusden,10,55,0.18181818181818182
hillegersberg,2,25,0.08
hillegom,9,48,0.1875
hilvarenbeek,0,10,0.0
hilversum,11,62,0.1774193548387097
hindeloopen,3,17,0.17647058823529413
hoedekenskerke,3,8,0.375
hoek,70,776,0.09020618556701031
hoenkoop,1,6,0.16666666666666666
hoensbroek,1,4,0.25
hoevelaken,2,5,0.4
hoeven,55,368,0.14945652173913043
hof.?van.?delft,3,19,0.15789473684210525
holten,3,93,0.03225806451612903
hontenisse,0,2,0.0
hoofdplaat,11,106,0.10377358490566038
hoog.?blokland,3,10,0.3
hoogeloo(n|n.?.?hapert.?e?n?.?casteren),0,2,0.0
hooge.?mierde|hooge.?en.?lage.?mierde,0,0,0.0
hoogeveen,17,112,0.15178571428571427
hoogezand,2,17,0.11764705882352941
hoogkarspel,0,2,0.0
hoogkerk,2,8,0.25
hoogland,6,72,0.08333333333333333
hoogvliet,2,26,0.07692307692307693
hoogwoud,2,8,0.25
hoorn,62,390,0.15897435897435896
hoornaar,1,1,1.0
horn,8,128,0.0625
horssen,0,0,0.0
horst,43,422,0.1018957345971564
houten,26,320,0.08125
houthem,0,0,0.0
huij?bergen,0,3,0.0
huisselin(g|g.?e?n?neerloon),0,0,0.0
huissen,1,10,0.1
huizen,102,749,0.13618157543391188
hulsberg,0,1,0.0
hulst,10,112,0.08928571428571429
hummelo.?en.?keppel,1,1,1.0
hunsel,0,1,0.0
hurwenen,2,6,0.3333333333333333
idaarderadeel,2,11,0.18181818181818182
(ij|y)erseke,0,19,0.0
(ij|y)lst,5,85,0.058823529411764705
(ij|y)sselmonde,4,31,0.12903225806451613
(ij|y)sselmuiden,10,19,0.5263157894736842
(ij|y)sselstein,5,33,0.15151515151515152
(ij|y)zend(ij|y)ke,4,16,0.25
(ij|y)zendoorn,0,15,0.0
ilpendam,0,3,0.0
itteren,28,293,0.09556313993174062
ittervoort,0,0,0.0
jaarsveld,4,19,0.21052631578947367
jabeek,0,0,0.0
jisp,0,4,0.0
jutphaas,5,25,0.2
kamerik,10,30,0.3333333333333333
kampen,183,477,0.3836477987421384
kamperveen,2,4,0.5
kantens,0,0,0.0
kapelle,1,11,0.09090909090909091
katendrecht,3,41,0.07317073170731707
kats,2,14,0.14285714285714285
kattend(ij|y)ke,0,2,0.0
katw(ij|y)k,11,48,0.22916666666666666
katwoude,0,0,0.0
kedichem,0,2,0.0
kerkrade,1,10,0.1
kerkwerve,0,5,0.0
kerkw(ij|y)k,7,30,0.23333333333333334
kessel,1,20,0.05
kesteren,0,12,0.0
kethel.?en.?spaland,2,13,0.15384615384615385
klaaswaal,1,22,0.045454545454545456
klimmen,13,68,0.19117647058823528
kloetinge,0,1,0.0
kloosterburen,0,2,0.0
klundert,9,28,0.32142857142857145
kockengen,13,34,0.38235294117647056
koed(ij|y)k,1,5,0.2
koewacht,1,1,1.0
kollumerland|nieuwkruisland,2,8,0.25
koog.?(aan.?de|a.?d.?).?zaan,2,26,0.07692307692307693
kortenhoef,1,3,0.3333333333333333
kortgene,0,3,0.0
koudekerk,7,47,0.14893617021276595
koudekerke,3,25,0.12
krabbend(ij|y)ke,0,7,0.0
kralingen,9,71,0.1267605633802817
krimpen.?(a.?d.?|aan.?den?).?(ij|y)ssel,9,33,0.2727272727272727
krimpen.?(aan.?de|a.?d.?).?lek,2,15,0.13333333333333333
krommenie,5,36,0.1388888888888889
kruiningen,0,3,0.0
kuinre,3,6,0.5
kwad(ij|y)k,0,9,0.0
laag.?nieuwkoop,6,23,0.2608695652173913
landsmeer,1,3,0.3333333333333333
langbroek,4,17,0.23529411764705882
langerak,6,17,0.35294117647058826
lange.?ruige.?weide,1,8,0.125
laren,107,868,0.12327188940092165
laren,107,868,0.12327188940092165
leek,108,609,0.17733990147783252
leende,18,133,0.13533834586466165
leens,4,16,0.25
leerbroek,0,0,0.0
leerdam,8,55,0.14545454545454545
leersum,0,0,0.0
l(eeu|iw|ieu)ward(en|\.)|ljouwert ,77,460,0.1673913043478261
leeuwarderadeel,1,8,0.125
le(i|y)den|leid(s|sch)e,319,1105,0.28868778280542984
le(ij?|y)derdorp,13,46,0.2826086956521739
leimuiden,5,24,0.20833333333333334
lekkerkerk,3,27,0.1111111111111111
nieuw.?lekkerland,0,4,0.0
lemsterland,3,14,0.21428571428571427
leusden,3,13,0.23076923076923078
lexmond,1,19,0.05263157894736842
lichtenvoorde,0,2,0.0
liempde,4,10,0.4
lienden,0,12,0.0
de.?lier,0,25,0.0
lierop,0,2,0.0
lieshout,1,7,0.14285714285714285
limbricht,0,1,0.0
limmen,15,79,0.189873417721519
linden,17,167,0.10179640718562874
groote.?lindt,0,9,0.0
linne,42,304,0.13815789473684212
linschoten,8,28,0.2857142857142857
lisse,72,654,0.11009174311926606
lith,7,60,0.11666666666666667
litho(ij|y)en,0,7,0.0
lochem,0,11,0.0
loenen,15,82,0.18292682926829268
loenersloot,4,13,0.3076923076923077
lonneker,1,3,0.3333333333333333
loon.?op.?zand,0,3,0.0
loosdrecht,7,34,0.20588235294117646
loosduinen,4,24,0.16666666666666666
lopik,4,24,0.16666666666666666
loppersum,0,1,0.0
losser,4,11,0.36363636363636365
lu(ij|y)ksgestel,0,0,0.0
maarheeze,0,0,0.0
maarn,1,5,0.2
maarssen,11,62,0.1774193548387097
maarsseveen,5,33,0.15151515151515152
maartensd(ij|y)k,6,36,0.16666666666666666
maasbracht,0,8,0.0
maasbree,0,2,0.0
maasdam,2,12,0.16666666666666666
maashees|overloon,0,3,0.0
maasland,6,40,0.15
maasniel,0,2,0.0
maassluis,5,161,0.031055900621118012
maastr(ich.*|\.),77,313,0.24600638977635783
made|drimmelen,26,210,0.12380952380952381
margraten,0,0,0.0
markelo,1,4,0.25
