Location_Regex,name,cbscode,amsterdamcode,n_both,n_total,Normalized_Mentions
(?:[^a-zA-Z]|\b)avereest(?:[^a-zA-Z]|\b),Avereest,143,11190,1,28,0.03571428571428571
(?:[^a-zA-Z]|\b)axel(?:[^a-zA-Z]|\b),Axel,650,11289,0,16,0.0
(?:[^a-zA-Z]|\b)baarderadeel(?:[^a-zA-Z]|\b),Baarderadeel,61,10422,0,5,0.0
(?:[^a-zA-Z]|\b)baardw(ij|y)k(?:[^a-zA-Z]|\b),Baardwijk,1015,10006,1,8,0.125
(?:[^a-zA-Z]|\b)baarland(?:[^a-zA-Z]|\b),Baarland,651,10634,0,3,0.0
(?:[^a-zA-Z]|\b)baarle.?nassau(?:[^a-zA-Z]|\b),Baarle-Nassau,744,10060,0,1,0.0
(?:[^a-zA-Z]|\b)baarn(?:[^a-zA-Z]|\b),Baarn,308,11411,2,24,0.08333333333333333
(?:[^a-zA-Z]|\b)baexem(?:[^a-zA-Z]|\b),Baexem,886,11255,0,0,0.0
(?:[^a-zA-Z]|\b)baflo(?:[^a-zA-Z]|\b),Baflo,4,10539,2,8,0.25
(?:[^a-zA-Z]|\b)bakel.?en.?milheeze(?:[^a-zA-Z]|\b),Bakel en Milheeze,745,10749,0,0,0.0
(?:[^a-zA-Z]|\b)balgo(ij|y)(?:[^a-zA-Z]|\b),Balgoij,1016,10849,0,0,0.0
(?:[^a-zA-Z]|\b)barneveld(?:[^a-zA-Z]|\b),Barneveld,203,10906,5,32,0.15625
(?:[^a-zA-Z]|\b)barradeel(?:[^a-zA-Z]|\b),Barradeel,62,10156,1,8,0.125
(?:[^a-zA-Z]|\b)barsingerhorn(?:[^a-zA-Z]|\b),Barsingerhorn,369,10973,0,1,0.0
(?:[^a-zA-Z]|\b)barwoutswaarder(?:[^a-zA-Z]|\b),Barwoutswaarder,1017,10447,0,13,0.0
(?:[^a-zA-Z]|\b)batenburg(?:[^a-zA-Z]|\b),Batenburg,204,10921,2,29,0.06896551724137931
(?:[^a-zA-Z]|\b)bath(?:[^a-zA-Z]|\b),Bath,1018,10623,0,13,0.0
(?:[^a-zA-Z]|\b)bathmen(?:[^a-zA-Z]|\b),Bathmen,144,11030,0,1,0.0
(?:[^a-zA-Z]|\b)bedum(?:[^a-zA-Z]|\b),Bedum,5,10425,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)beegden(?:[^a-zA-Z]|\b),Beegden,887,11089,0,1,0.0
(?:[^a-zA-Z]|\b)beek(?:[^a-zA-Z]|\b),Beek (L.),888,11374,14,112,0.125
(?:[^a-zA-Z]|\b)beek.?en.?donk(?:[^a-zA-Z]|\b),Beek en Donk,746,10173,0,0,0.0
(?:[^a-zA-Z]|\b)beemster(?:[^a-zA-Z]|\b),Beemster,370,10816,8,19,0.42105263157894735
(?:[^a-zA-Z]|\b)beers(?:[^a-zA-Z]|\b),Beers,747,11410,0,3,0.0
(?:[^a-zA-Z]|\b)beerta(?:[^a-zA-Z]|\b),Beerta,6,11043,3,27,0.1111111111111111
(?:[^a-zA-Z]|\b)beesd(?:[^a-zA-Z]|\b),Beesd,205,10259,1,1,1.0
(?:[^a-zA-Z]|\b)beesel(?:[^a-zA-Z]|\b),Beesel,889,10195,0,2,0.0
(?:[^a-zA-Z]|\b)beets(?:[^a-zA-Z]|\b),Beets,371,10536,2,42,0.047619047619047616
(?:[^a-zA-Z]|\b)beilen(?:[^a-zA-Z]|\b),Beilen,107,10520,4,11,0.36363636363636365
(?:[^a-zA-Z]|\b)belfeld(?:[^a-zA-Z]|\b),Belfeld,890,10292,1,5,0.2
(?:[^a-zA-Z]|\b)bellingewolde(?:[^a-zA-Z]|\b),Bellingwolde,1019,10340,0,0,0.0
(?:[^a-zA-Z]|\b)bemelen(?:[^a-zA-Z]|\b),Bemelen,891,10878,0,0,0.0
(?:[^a-zA-Z]|\b)bemmel(?:[^a-zA-Z]|\b),Bemmel,206,10744,3,19,0.15789473684210525
(?:[^a-zA-Z]|\b)bennebroek(?:[^a-zA-Z]|\b),Bennebroek,372,10734,0,0,0.0
(?:[^a-zA-Z]|\b)benschop(?:[^a-zA-Z]|\b),Benschop,309,11330,2,14,0.14285714285714285
(?:[^a-zA-Z]|\b)benthuizen(?:[^a-zA-Z]|\b),Benthuizen,490,10398,2,15,0.13333333333333333
(?:[^a-zA-Z]|\b)berg.?en.?terbl(ij|y)t(?:[^a-zA-Z]|\b),Berg en Terblijt,892,10796,0,0,0.0
(?:[^a-zA-Z]|\b)bergambacht(?:[^a-zA-Z]|\b),Bergambacht,491,10962,8,21,0.38095238095238093
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (L.),893,11281,30,294,0.10204081632653061
(?:[^a-zA-Z]|\b)bergen(?:[^a-zA-Z]|\b),Bergen (NH.),373,11424,30,294,0.10204081632653061
(?:[^a-zA-Z]|\b)berg(.?)en.?op.?zoom(?:[^a-zA-Z]|\b),Bergen op Zoom,748,11037,15,171,0.08771929824561403
(?:[^a-zA-Z]|\b)berge(ij|y)k(?:[^a-zA-Z]|\b),Bergeyk,749,11160,0,0,0.0
(?:[^a-zA-Z]|\b)bergh(?:[^a-zA-Z]|\b),Bergh,207,10350,4,34,0.11764705882352941
(?:[^a-zA-Z]|\b)bergharen(?:[^a-zA-Z]|\b),Bergharen,208,10883,0,4,0.0
(?:[^a-zA-Z]|\b)ber(g|c)h?em(?:[^a-zA-Z]|\b),Berghem,750,10733,0,8,0.0
(?:[^a-zA-Z]|\b)bergschenhoek(?:[^a-zA-Z]|\b),Bergschenhoek,492,10445,3,16,0.1875
(?:[^a-zA-Z]|\b)berkel.?en.?rodenr(ij|y)s(?:[^a-zA-Z]|\b),Berkel en Rodenrijs,493,10139,2,7,0.2857142857142857
(?:[^a-zA-Z]|\b)berkel.?enschot(?:[^a-zA-Z]|\b),Berkel-Enschot,751,11132,0,0,0.0
(?:[^a-zA-Z]|\b)berkenwoude(?:[^a-zA-Z]|\b),Berkenwoude,494,10797,5,12,0.4166666666666667
(?:[^a-zA-Z]|\b)berkhout(?:[^a-zA-Z]|\b),Berkhout,374,10354,4,56,0.07142857142857142
(?:[^a-zA-Z]|\b)berlicum(?:[^a-zA-Z]|\b),Berlicum,752,10362,2,4,0.5
(?:[^a-zA-Z]|\b)beso(ij|y)en(?:[^a-zA-Z]|\b),Besoijen,1020,10056,1,9,0.1111111111111111
(?:[^a-zA-Z]|\b)best(?:[^a-zA-Z]|\b),Best,753,10442,22,281,0.07829181494661921
(?:[^a-zA-Z]|\b)beugen.?en.?rijkevoort(?:[^a-zA-Z]|\b),Beugen en Rijkevoort,1021,10252,0,0,0.0
(?:[^a-zA-Z]|\b)beuningen(?:[^a-zA-Z]|\b),Beuningen,209,10417,1,1,1.0
(?:[^a-zA-Z]|\b)beusichem(?:[^a-zA-Z]|\b),Beusichem,210,11182,5,13,0.38461538461538464
(?:[^a-zA-Z]|\b)beverw(ij|y)k(?:[^a-zA-Z]|\b),Beverwijk,375,10272,1,41,0.024390243902439025
(?:[^a-zA-Z]|\b)bierum(?:[^a-zA-Z]|\b),Bierum,8,11294,0,0,0.0
(?:[^a-zA-Z]|\b)biervliet(?:[^a-zA-Z]|\b),Biervliet,652,10257,0,3,0.0
(?:[^a-zA-Z]|\b)biggekerke(?:[^a-zA-Z]|\b),Biggekerke,1022,11364,0,5,0.0
(?:[^a-zA-Z]|\b)bingelrade(?:[^a-zA-Z]|\b),Bingelrade,894,10967,0,0,0.0
(?:[^a-zA-Z]|\b)bladel.?en.?netersel(?:[^a-zA-Z]|\b),Bladel en Netersel,754,11006,0,0,0.0
(?:[^a-zA-Z]|\b)blankenham(?:[^a-zA-Z]|\b),Blankenham,145,10320,1,3,0.3333333333333333
(?:[^a-zA-Z]|\b)blaricum(?:[^a-zA-Z]|\b),Blaricum,376,10493,0,0,0.0
(?:[^a-zA-Z]|\b)bleisw(ij|y)k(?:[^a-zA-Z]|\b),Bleiswijk,495,10994,5,26,0.19230769230769232
(?:[^a-zA-Z]|\b)bleskensgraaf.?en.?hofwege(n?)(?:[^a-zA-Z]|\b),Bleskensgraaf en Hofwege,496,10451,0,0,0.0
(?:[^a-zA-Z]|\b)bloemendaal(?:[^a-zA-Z]|\b),Bloemendaal,377,10850,3,20,0.15
(?:[^a-zA-Z]|\b)blokker(?:[^a-zA-Z]|\b),Blokker,378,10804,0,2,0.0
(?:[^a-zA-Z]|\b)blokz(ij|y)l(?:[^a-zA-Z]|\b),Blokzijl,146,10689,2,21,0.09523809523809523
(?:[^a-zA-Z]|\b)bocholtz(?:[^a-zA-Z]|\b),Bocholtz,895,10986,0,0,0.0
(?:[^a-zA-Z]|\b)bodegraven(?:[^a-zA-Z]|\b),Bodegraven,497,11091,16,48,0.3333333333333333
(?:[^a-zA-Z]|\b)boekel(?:[^a-zA-Z]|\b),Boekel,755,10432,0,0,0.0
(?:[^a-zA-Z]|\b)bokhoven(?:[^a-zA-Z]|\b),Bokhoven,1023,11083,0,4,0.0
(?:[^a-zA-Z]|\b)bolsward(?:[^a-zA-Z]|\b),Bolsward,64,10865,6,80,0.075
(?:[^a-zA-Z]|\b)borculo(?:[^a-zA-Z]|\b),Borculo,211,11307,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)borger(?:[^a-zA-Z]|\b),Borger,108,10448,1,6,0.16666666666666666
(?:[^a-zA-Z]|\b)borgharen(?:[^a-zA-Z]|\b),Borgharen,896,11334,0,0,0.0
(?:[^a-zA-Z]|\b)borkel.?en.?schaft(?:[^a-zA-Z]|\b),Borkel en Schaft,1026,11013,0,0,0.0
(?:[^a-zA-Z]|\b)born(?:[^a-zA-Z]|\b),Born,897,10927,0,7,0.0
(?:[^a-zA-Z]|\b)borne(?:[^a-zA-Z]|\b),Borne,147,10326,0,5,0.0
(?:[^a-zA-Z]|\b)borsselen?(?:[^a-zA-Z]|\b),Borssele,1254,10043,0,3,0.0
(?:[^a-zA-Z]|\b)boschkapelle(?:[^a-zA-Z]|\b),Boschkapelle,1027,10605,0,2,0.0
(?:[^a-zA-Z]|\b)boskoop(?:[^a-zA-Z]|\b),Boskoop,499,10419,6,38,0.15789473684210525
(?:[^a-zA-Z]|\b)bovenkarspel(?:[^a-zA-Z]|\b),Bovenkarspel,379,10945,0,0,0.0
(?:[^a-zA-Z]|\b)boxmeer(?:[^a-zA-Z]|\b),Boxmeer,756,11227,0,13,0.0
(?:[^a-zA-Z]|\b)boxtel(?:[^a-zA-Z]|\b),Boxtel,757,10083,13,71,0.18309859154929578
(?:[^a-zA-Z]|\b)brakel(?:[^a-zA-Z]|\b),Brakel,212,11125,4,12,0.3333333333333333
(?:[^a-zA-Z]|\b)brandw(ij|y)k(?:[^a-zA-Z]|\b),Brandwijk,500,10169,7,28,0.25
(?:[^a-zA-Z]|\b)breda(?:[^a-zA-Z]|\b),Breda,758,10154,45,408,0.11029411764705882
(?:[^a-zA-Z]|\b)breskens(?:[^a-zA-Z]|\b),Breskens,655,10233,1,12,0.08333333333333333
(?:[^a-zA-Z]|\b)breukelen.?n(ij|y)enrode(?:[^a-zA-Z]|\b),Breukelen-Nijenrode,1028,10807,3,12,0.25
(?:[^a-zA-Z]|\b)breukelen.?(st.?|sint).?pieters(?:[^a-zA-Z]|\b),Breukelen-Sint Pieters,1029,11149,4,15,0.26666666666666666
(?:[^a-zA-Z]|\b)brielle(?:[^a-zA-Z]|\b),Brielle,501,10232,11,175,0.06285714285714286
(?:[^a-zA-Z]|\b)broek(?:[^a-zA-Z]|\b),Broek,1030,11214,6,104,0.057692307692307696
